

Results for corner tt
[['0', 'time', 'time'], ['1', 'v(clk)', 'voltage'], ['2', 'v(comp_out)', 'voltage'], ['3', 'v(inn)', 'voltage'], ['4', 'v(inp)', 'voltage'], ['5', 'v(temperat)', 'voltage'], ['6', 'v(vdd)', 'voltage'], ['7', 'i(vvdd)', 'current']]
-14, 0.96, 1.7, 2.5e-07, 2.6e-07, 7.1e-09, OK
88, 1.2, 1.8, 2.4e-07, 2.4e-07, 0, OK
94, 1.1, 1.8, 2.5e-07, 2.5e-07, 0, OK
17, 0.22, 1.7, 2.5e-07, 1e-12, -2.5e-07, Failed
66, 0.58, 1.8, 2.6e-07, 2.8e-07, 2.1e-08, OK
58, 0.77, 1.8, 2.6e-07, 2.6e-07, 2.6e-09, OK
84, 0.97, 1.8, 2.6e-07, 2.6e-07, 0, OK
29, 0.61, 1.8, 2.6e-07, 2.8e-07, 2.2e-08, OK
66, 0.24, 1.8, 2.5e-07, 1e-12, -2.5e-07, Failed
30, 0.75, 1.9, 2.6e-07, 2.6e-07, 5.7e-09, OK
43, 0.7, 1.7, 2.6e-07, 2.8e-07, 2e-08, OK
61, 0.51, 1.8, 2.6e-07, 2.8e-07, 2e-08, OK
28, 1.2, 1.7, 2.5e-07, 2.5e-07, 0, OK
50, 0.72, 1.7, 2.5e-07, 2.6e-07, 9.1e-09, OK
-6.4, 0.99, 1.8, 2.5e-07, 2.6e-07, 1.3e-08, OK
29, 1.1, 1.9, 2.6e-07, 2.6e-07, 0, OK
31, 1.1, 1.9, 2.5e-07, 2.5e-07, 0, OK
16, 0.32, 1.8, 2.5e-07, 1e-12, -2.5e-07, Failed
-5.3, 0.73, 1.7, 2.5e-07, 2.6e-07, 7.3e-09, OK
13, 1.3, 1.8, 2.5e-07, 2.5e-07, 0, OK
6.9, 1.3, 1.8, 2.5e-07, 2.5e-07, 0, OK
63, 0.63, 1.8, 2.5e-07, 2.6e-07, 1.2e-08, OK
38, 0.35, 1.8, 2.6e-07, 1e-12, -2.6e-07, Failed
18, 0.53, 1.8, 2.5e-07, 2.6e-07, 9.6e-09, OK
59, 1, 1.8, 2.5e-07, 2.6e-07, 8.6e-09, OK
-22, 0.7, 1.7, 2.6e-07, 2.6e-07, 4.7e-09, OK
91, 0.77, 1.8, 2.6e-07, 2.6e-07, 2.6e-09, OK
65, 1.1, 1.8, 2.6e-07, 2.6e-07, 5.6e-09, OK
61, 0.42, 1.8, 2.5e-07, 4.4e-07, 1.9e-07, Failed
37, 0.88, 1.8, 2.6e-07, 2.6e-07, 4.1e-09, OK
11, 1.1, 1.8, 2.5e-07, 2.5e-07, 0, OK
19, 1, 1.8, 2.6e-07, 2.6e-07, 2.7e-09, OK
81, 0.7, 1.9, 2.5e-07, 2.6e-07, 1.1e-08, OK
16, 0.65, 1.7, 2.5e-07, 2.6e-07, 8.4e-09, OK
